SubjectID,ConditionCode,Format,Complexity,N1,N2,CorrectAnswer,UserAnswer,Accuracy,RT_ms,WasEdited
Sub_9447,4,word,yes,48,28,76,76,1,6056,0
Sub_9447,2,digit,yes,49,39,88,88,1,2997,0
Sub_9447,1,digit,no,21,32,53,53,1,4275,0
Sub_1647,3,word,no,62,14,76,76,1,6761,0
Sub_1647,4,word,yes,57,37,94,94,1,13668,0
Sub_1647,2,digit,yes,49,39,88,88,1,5997,0
Sub_1647,3,word,no,42,14,56,56,1,8090,0
Sub_1647,4,word,yes,46,37,83,83,1,28313,0
Sub_1647,4,word,yes,28,34,62,62,1,18854,0
Sub_1647,3,word,no,52,33,85,85,1,12406,0
Sub_1647,3,word,no,41,12,53,53,1,18895,0
Sub_1647,1,digit,no,32,42,74,74,1,5220,0
Sub_1647,2,digit,yes,26,27,53,53,1,4063,0
Sub_1647,1,digit,no,72,22,94,94,1,5666,0
Sub_1647,2,digit,yes,27,29,56,56,1,4001,0
Sub_1647,1,digit,no,22,34,56,56,1,4422,0
Sub_1647,4,word,yes,48,37,85,85,1,11649,0
Sub_1647,1,digit,no,64,24,88,88,1,3540,0
Sub_1647,1,digit,no,52,24,76,76,1,3051,0
Sub_1647,3,word,no,52,22,74,76,0,5884,0
Sub_1647,4,word,yes,25,28,53,53,1,7488,0
Sub_1647,4,word,yes,29,38,67,67,1,27676,0
Sub_1647,1,digit,no,51,32,83,83,1,5335,0
Sub_1647,3,word,no,33,34,67,67,1,6149,0
Sub_1647,2,digit,yes,27,35,62,62,1,5699,0
Sub_1647,4,word,yes,38,18,56,56,1,16999,0
Sub_1647,3,word,no,51,11,62,62,1,7317,0
Sub_1647,2,digit,yes,36,38,74,74,1,4037,0
Sub_1647,2,digit,yes,39,37,76,76,1,3416,0
Sub_1647,2,digit,yes,45,38,83,83,1,4527,0
Sub_1647,2,digit,yes,48,46,94,94,1,3780,0
Sub_1647,1,digit,no,62,23,85,85,1,4370,0
Sub_1647,4,word,yes,47,27,74,74,1,8455,1
Sub_1647,4,word,yes,48,28,76,76,1,9724,0
Sub_1647,3,word,no,54,34,88,88,1,9976,0
Sub_1647,1,digit,no,41,21,62,62,1,3440,0
Sub_1647,1,digit,no,21,32,53,53,1,3009,0
Sub_1647,4,word,yes,59,29,88,88,1,13962,0
Sub_1647,1,digit,no,23,44,67,67,1,5668,0
Sub_1647,3,word,no,62,32,94,94,1,10616,0
Sub_1647,2,digit,yes,28,39,67,67,1,4357,0
Sub_1647,2,digit,yes,59,26,85,85,1,5942,0
Sub_1647,3,word,no,61,22,83,83,1,23148,0
Sub_7042,4,word,yes,46,37,83,83,1,4944,0
Sub_7042,2,digit,yes,45,38,83,83,1,7164,0
Sub_7042,3,word,no,51,11,62,62,1,3838,0
Sub_7042,3,word,no,41,12,53,53,1,3186,0
Sub_7042,4,word,yes,28,34,62,62,1,4829,0
Sub_7042,1,digit,no,41,21,62,62,1,2840,0
Sub_7042,1,digit,no,22,34,56,56,1,2361,0
Sub_7042,1,digit,no,21,32,53,53,1,2833,0
Sub_7042,3,word,no,62,14,76,76,1,5589,0
Sub_7042,3,word,no,54,34,88,88,1,3191,0
Sub_7042,1,digit,no,64,24,88,88,1,2076,0
Sub_7042,3,word,no,52,22,74,74,1,2910,0
Sub_7042,2,digit,yes,26,27,53,53,1,3081,0
Sub_7042,4,word,yes,57,37,94,94,1,6164,0
Sub_7042,3,word,no,62,32,94,94,1,4376,0
Sub_7042,4,word,yes,29,38,67,67,1,6675,0
Sub_7042,1,digit,no,32,42,74,74,1,2438,0
Sub_7042,4,word,yes,38,18,56,56,1,6757,0
Sub_7042,2,digit,yes,48,46,94,94,1,4273,0
Sub_7042,3,word,no,61,22,83,83,1,4753,0
Sub_7042,3,word,no,52,33,85,85,1,3081,0
Sub_7042,1,digit,no,23,44,67,77,0,2190,0
Sub_7042,2,digit,yes,27,29,56,56,1,5175,0
Sub_7042,1,digit,no,51,32,83,83,1,2416,0
Sub_7042,2,digit,yes,39,37,76,76,1,6158,0
Sub_7042,1,digit,no,72,22,94,94,1,2087,0
Sub_7042,4,word,yes,47,27,74,74,1,7034,0
Sub_7042,4,word,yes,48,37,85,85,1,5137,0
Sub_7042,3,word,no,33,34,67,67,1,5059,0
Sub_7042,4,word,yes,48,28,76,76,1,4031,0
Sub_7042,2,digit,yes,27,35,62,62,1,7463,1
Sub_7042,2,digit,yes,28,39,67,67,1,5924,0
Sub_7042,4,word,yes,59,29,88,88,1,6155,0
Sub_7042,2,digit,yes,36,38,74,74,1,4968,0
Sub_7042,2,digit,yes,49,39,88,88,1,4700,0
Sub_7042,3,word,no,42,14,56,56,1,5371,1
Sub_7042,1,digit,no,62,23,85,85,1,4484,1
Sub_7042,4,word,yes,25,28,53,53,1,3166,0
Sub_7042,1,digit,no,52,24,76,76,1,2095,0
Sub_7042,2,digit,yes,59,26,85,85,1,6129,0
Sub_247,3,word,no,41,12,53,53,1,8592,0
Sub_247,1,digit,no,32,42,74,74,1,2006,0
Sub_247,2,digit,yes,48,46,94,94,1,2738,0
Sub_247,4,word,yes,47,27,74,74,1,5723,0
Sub_247,2,digit,yes,26,27,53,53,1,2628,0
Sub_247,1,digit,no,51,32,83,83,1,2437,0
Sub_247,2,digit,yes,59,26,85,85,1,7046,1
Sub_247,3,word,no,33,34,67,67,1,3812,0
Sub_247,4,word,yes,48,37,85,85,1,4030,0
Sub_247,4,word,yes,38,18,56,56,1,4447,0
Sub_247,3,word,no,61,22,83,83,1,3161,0
Sub_247,1,digit,no,72,22,94,84,0,2019,0
Sub_247,2,digit,yes,45,38,83,83,1,3108,0
Sub_247,2,digit,yes,39,37,76,76,1,4368,0
Sub_247,4,word,yes,48,28,76,76,1,4325,0
Sub_247,4,word,yes,29,38,67,67,1,8602,1
Sub_247,3,word,no,42,14,56,56,1,2752,0
Sub_247,1,digit,no,52,24,76,76,1,2753,0
Sub_247,1,digit,no,62,23,85,85,1,3017,0
Sub_247,3,word,no,54,34,88,88,1,4423,0
Sub_247,4,word,yes,57,37,94,94,1,5956,1
Sub_247,2,digit,yes,28,39,67,67,1,2891,0
Sub_247,2,digit,yes,27,35,62,62,1,3819,0
Sub_247,1,digit,no,64,24,88,88,1,2020,0
Sub_247,4,word,yes,59,29,88,88,1,11386,0
Sub_247,4,word,yes,46,37,83,83,1,6559,0
Sub_247,2,digit,yes,36,38,74,74,1,4289,0
Sub_247,3,word,no,62,32,94,94,1,3676,0
Sub_247,1,digit,no,22,34,56,56,1,2874,0
Sub_247,3,word,no,62,14,76,76,1,3363,0
Sub_247,3,word,no,51,11,62,62,1,2395,0
Sub_247,4,word,yes,25,28,53,53,1,4474,1
